,Year,Coal,Petroleum Products,Natural Gas,Total,Sector
207,2021,0,49.00183838,0.7698934099999999,49.77173179,Transportation
208,1970,15.65993476666667,8.903129473333331,0.23259874,24.79566298,Electic
209,1971,13.5993044,10.76013917,0.22872828,24.58817185,Electic
210,1972,11.49187827333333,12.76200893,0.25465506,24.50854226333333,Electic
211,1973,11.51213741333333,12.43882526333333,0.23424236,24.18520503666667,Electic
212,1974,10.03074724666667,13.34863508,0.25730606,23.63668838666666,Electic
213,1975,9.083608673333334,12.89322558333333,0.0288959,22.00573015666667,Electic
214,1976,13.22503343333333,12.21170144333333,0.02799456,25.46472943666667,Electic
215,1977,11.62655875333333,13.51511274666667,0.08477898,25.22645048,Electic
216,1978,10.0468214,12.99187281333333,0.06426024000000001,23.10295445333333,Electic
217,1979,12.15139412666667,11.78439353666667,0.20767934,24.14346700333333,Electic
218,1980,13.22845751333333,7.22788638,0.13376946,20.59011335333333,Electic
219,1981,15.44326659333333,3.221334966666667,0.12677082,18.79137238,Electic
220,1982,15.66916076,1.555962136666667,0.1731103,17.39823319666667,Electic
221,1983,15.83684556666667,1.27474754,0.18466866,17.29626176666667,Electic
222,1984,17.58198500666667,1.227225046666667,0.17395862,18.98316867333333,Electic
223,1985,17.4670881,0.7606976666666666,0.08424878,18.31203454666666,Electic
224,1986,17.95910937333333,2.30647417,0.04729384,20.31287738333333,Electic
225,1987,20.22604056,2.158143533333333,0.09495882000000001,22.47914291333333,Electic
226,1988,20.62114134666667,2.04317003,0.06129112,22.72560249666667,Electic
227,1989,25.19780472,3.185264023333334,0.20932296,28.59239170333333,Electic
228,1990,21.99562412666667,0.9087990266666667,0.53380536,23.43822851333333,Electic
229,1991,23.05785405,1.55453441,0.8738541166666666,25.48624257666667,Electic
230,1992,24.59222634,1.212535793333333,1.307151816666666,27.11191395,Electic
231,1993,27.6950938,1.723897706666667,2.2013904,31.62038190666667,Electic
232,1994,25.31697197333333,1.95456789,2.2210078,29.49254766333333,Electic
233,1995,27.30138048,1.038678336666667,2.462784353333333,30.80284317,Electic
234,1996,31.0700016,0.76533644,1.73415715,33.56949519,Electic
235,1997,32.24840648333333,1.543094996666666,1.057737706666666,34.84923918666667,Electic
236,1998,33.00862205666667,2.064624796666667,2.079648816666666,37.15289567,Electic
237,1999,34.06388128,2.34678345,2.27264928,38.68331401,Electic
238,2000,39.37124377999999,2.012673593333334,2.020132583333333,43.40404995666666,Electic
239,2001,37.30130715666666,3.715620186666666,1.8085122,42.82543954333333,Electic
240,2002,37.41765719999999,2.65895256,1.898685873333333,41.97529563333333,Electic
241,2003,35.46372309333333,4.229181256666667,1.9209146,41.61381895,Electic
242,2004,34.82283317333332,3.8055589,2.657926773333334,41.28631884666666,Electic
243,2005,35.24454677333333,3.186666743333333,3.66384106,42.09505457666666,Electic
244,2006,33.63146281,0.6011544,3.29211784,37.52473505,Electic
245,2007,35.66326048999999,1.501460106666667,4.944380100000001,42.10910069666667,Electic
246,2008,31.63281044,0.90156814,4.2447812,36.77915978,Electic
247,2009,25.58548916,0.7798153,5.220776,31.58608046,Electic
248,2010,25.9046931,0.9788964533333333,7.6589788,34.54256835333334,Electic
249,2011,20.59702296666666,0.3745447199999999,7.768032506666667,28.73960019333333,Electic
250,2012,14.65396364666667,0.2673456133333333,10.40303286,25.32434212,Electic
251,2013,21.44788543333333,0.23052194,9.41375402,31.09216139333333,Electic
252,2014,20.81339876,0.9250751766666666,8.769907299999998,30.50838123666666,Electic
253,2015,17.54678717,0.8531078599999999,13.59136207,31.9912571,Electic
254,2016,16.85589466,0.4342157233333334,16.44437509,33.73448547333333,Electic
255,2017,11.07748869333333,0.3575877066666667,17.32183453,28.75691092999999,Electic
256,2018,10.10290897,0.6950318466666665,19.78908074,30.58702155666666,Electic
257,2019,4.06164704,0.17840328,22.67685563,26.91690595,Electic
258,2020,3.819632079999999,0.16185224,24.81251487,28.79399918999999,Electic
259,2021,3.04991973,0.2293511733333333,21.07796834,24.35723924333333,Electic
260,1970,26.146033197006,53.15637358097683,7.31927760168,86.62168437966282,Total
261,1971,21.86956075401613,57.83344280962424,7.718052049840001,87.42105561348039,Total
262,1972,18.89347177666667,61.44779596339598,8.34025086928,88.68151860934263,Total
263,1973,18.61392984,62.77587309381395,8.17854559544,89.56834852925395,Total
264,1974,16.81883269,60.5018176006222,7.661613956480001,84.9822642471022,Total
265,1975,16.06746005333333,58.63305910710213,6.46768308648,81.16820224691546,Total
266,1976,19.21998666764973,60.2963503022558,6.594649020079999,86.11098598998552,Total
267,1977,17.75108060191623,63.31059495224806,6.329234081280001,87.3909096354443,Total
268,1978,16.15475389008287,61.40267965931164,7.181458686160001,84.73889223555452,Total
269,1979,20.22809976443122,62.12394968723557,7.162787375040001,89.5148368267068,Total
270,1980,21.94724497181613,51.53645921303439,8.40761108264,81.89131526749053,Total
271,1981,25.0007315045939,45.19378836118351,8.11269030176,78.30721016753739,Total
272,1982,24.60788426187287,42.10231191457316,8.09914199512,74.80933817156604,Total
273,1983,26.0667145158972,43.49700673687506,7.694289758320001,77.25801101109228,Total
274,1984,29.04545068738407,46.20606420536316,7.77166502552,83.02317991826723,Total
275,1985,28.12513197802026,46.73601725828118,7.55941620984,82.42056544614144,Total
276,1986,28.73289821639165,50.87451136967317,7.658839737999999,87.26624932406482,Total
277,1987,32.01643025474592,53.16456713031589,8.62578477728,93.80678216234182,Total
278,1988,32.50436711855622,55.64248359641855,8.89559634656,97.04244706153477,Total
279,1989,36.43134301538694,54.2133732456246,9.44730443976,100.0920207007715,Total
280,1990,33.66253045974776,51.42246809827154,10.00144551472,95.08644407273928,Total
281,1991,36.06174817843994,50.2223011267813,9.85243457953333,96.13648388475457,Total
282,1992,36.03291537766507,49.7914037036515,11.55177814266666,97.37609722398324,Total
283,1993,37.59312141792135,51.06772292977553,13.01975195664,101.6805963043369,Total
284,1994,35.16554929606245,51.75421621861238,13.6597674048,100.5795329194748,Total
285,1995,36.48925836319631,51.6854202446656,14.84804208169333,103.0227206895552,Total
286,1996,40.61645307691937,53.04275886294522,14.14864252266667,107.8078544625313,Total
287,1997,40.99400634793203,55.43975125739094,13.58039458688,110.014152192203,Total
288,1998,41.58209093317958,56.13661677527554,14.15829852433333,111.8770062327884,Total
289,1999,42.19775542736445,56.72976109487269,15.00028775872,113.9278042809571,Total
290,2000,48.15199200341011,60.59479362587246,14.56227434876439,123.309059978047,Total
291,2001,46.29662503031135,61.64114245559262,12.89422512455933,120.8319926104633,Total
292,2002,45.85307030245508,59.51223161166847,13.97077588358411,119.3360777977077,Total
293,2003,44.14371916631695,65.69627804669722,14.2747312867797,124.1147284997939,Total
294,2004,43.0327049489493,69.69395311457305,15.00310815213135,127.7297662156537,Total
295,2005,43.64436272026077,69.38939265749129,16.37220934247844,129.4059647202305,Total
296,2006,41.25453120078306,66.86765677934972,14.89547364317281,123.0176616233056,Total
297,2007,43.58567817157299,67.17669823966087,17.41274438440315,128.175120795637,Total
298,2008,39.4874793294498,60.93732207996174,16.33840755058973,116.7632089600013,Total
299,2009,31.84157125731804,56.66923004664849,17.39689818641667,105.9076994903832,Total
300,2010,32.90359975809071,58.64109679278951,20.34186362381024,111.8865601746905,Total
301,2011,27.37856638677608,54.93847677768505,20.20235699877117,102.5194001632323,Total
302,2012,21.09403526828262,55.15675542963216,22.31179329689852,98.56258399481331,Total
303,2013,27.60739949377955,55.36950715812702,22.79049557936971,105.7674022312763,Total
304,2014,26.44170344358091,57.94885684586501,23.05205728306573,107.4426175725116,Total
305,2015,22.10318764258516,57.88358800095499,27.63417607203355,107.6209517155737,Total
306,2016,21.1923647454351,58.82669963943731,30.046435771279,110.0655001561514,Total
307,2017,15.16962334599844,59.08313485680431,31.33221553279908,105.5849737356018,Total
308,2018,14.17588682999742,60.82862229212419,35.05227662267272,110.0567857447943,Total
309,2019,8.029069433341395,61.03630975605497,37.72924667829021,106.7946258676866,Total
310,2020,7.127278220687257,51.7134213775156,39.33514896886725,98.17584856707009,Total
311,2021,6.47349582021012,54.72387860628547,36.75602827015038,97.95340269664597,Total
