Year,FIPS,Income
2016,51085,55818.0
2016,51087,59606.0
2016,51091,39206.0
2016,51093,51156.0
2016,51097,40446.0
2016,51099,51066.0
2016,51101,43328.0
2016,51103,52184.0
2016,51105,27935.0
2016,51107,73857.0
2016,51109,39892.0
2016,51111,30799.0
2016,51113,45073.0
2016,51115,52059.0
2016,51117,34023.0
2016,51119,45260.0
2016,51125,46645.0
2016,51127,66243.0
2016,51131,44726.0
2016,51133,47702.0
2016,51135,31425.0
2016,51137,47131.0
2016,51139,35808.0
2016,51141,30623.0
2016,51145,52063.0
2016,51147,29288.0
2016,51155,36437.0
2016,51157,57397.0
2016,51159,34767.0
2016,51167,30992.0
2016,51169,30646.0
2016,51171,40610.0
2016,51173,34419.0
2016,51179,51527.0
2016,51181,39148.0
2016,51183,28212.0
2016,51185,32877.0
2016,51187,43096.0
2016,51193,39805.0
2016,51197,32418.0
2016,51510,80838.0
2016,51550,47367.0
2016,51650,39353.0
2016,51700,38169.0
2016,51710,37918.0
2016,51740,36063.0
2016,51760,49948.0
2016,51770,38914.0
2016,51800,48650.0
2016,51810,52697.0
2016,51901,63663.0
2016,51903,35636.0
2016,51907,40165.0
2016,51911,34820.0
2016,51913,32802.0
2016,51918,35969.0
2016,51919,75908.0
2016,51921,46467.0
2016,51923,28605.0
2016,51929,34971.0
2016,51931,60952.0
2016,51933,33593.0
2016,51939,33433.0
2016,51941,33163.0
2016,51942,50769.0
2016,51944,47654.0
2016,51945,36730.0
2016,51947,35729.0
2016,51949,37622.0
2016,51951,47285.0
2016,51953,35976.0
2016,51955,30257.0
2016,51958,54890.0
2017,51001,43521.0
2017,51007,41165.0
2017,51009,35426.0
2017,51011,36472.0
2017,51013,89689.0
2017,51017,59033.0
2017,51019,44249.0
2017,51021,34806.0
2017,51023,47636.0
2017,51025,31318.0
2017,51027,33426.0
2017,51029,28846.0
2017,51033,41119.0
2017,51036,44727.0
2017,51037,34320.0
2017,51041,50912.0
2017,51043,61770.0
2017,51045,37399.0
2017,51047,44835.0
2017,51049,36722.0
2017,51051,30056.0
2017,51057,40898.0
2017,51061,66030.0
2017,51063,36804.0
2017,51065,42971.0
2017,51067,39633.0
2017,51071,37394.0
2017,51073,46659.0
2017,51075,94511.0
2017,51077,30323.0
2017,51079,41776.0
2017,51083,34100.0
2017,51085,57186.0
2017,51087,62279.0
2017,51091,41410.0
2017,51093,51961.0
2017,51097,42646.0
2017,51099,52160.0
2017,51101,44866.0
2017,51103,55375.0
2017,51105,28721.0
2017,51107,75632.0
2017,51109,42001.0
2017,51111,31654.0
2017,51113,44338.0
2017,51115,54137.0
2017,51117,35307.0
2017,51119,48416.0
2017,51125,48202.0
2017,51127,69934.0
2017,51131,48761.0
2017,51133,49462.0
2017,51135,32262.0
2017,51137,48792.0
2017,51139,36601.0
2017,51141,31883.0
2017,51145,54234.0
2017,51147,31163.0
2017,51155,37468.0
2017,51157,59792.0
2017,51159,35724.0
2017,51167,31802.0
2017,51169,31094.0
2017,51171,41623.0
2017,51173,35032.0
2017,51179,52856.0
2017,51181,41641.0
2017,51183,29452.0
2017,51185,35657.0
2017,51187,43723.0
2017,51193,41196.0
2017,51197,33635.0
2017,51510,82272.0
2017,51550,48156.0
2017,51650,40241.0
2017,51700,38782.0
2017,51710,38903.0
2017,51740,37738.0
2017,51760,52355.0
2017,51770,39728.0
2017,51800,49466.0
2017,51810,54531.0
2017,51901,68785.0
2017,51903,36553.0
2017,51907,41424.0
2017,51911,35653.0
2017,51913,34012.0
2017,51918,36914.0
2017,51919,77860.0
2017,51921,48082.0
2017,51923,29706.0
2017,51929,35768.0
2017,51931,62192.0
2017,51933,35069.0
2017,51939,34582.0
2017,51941,34161.0
2017,51942,52157.0
2017,51944,48289.0
2017,51945,37781.0
2017,51947,37635.0
2017,51949,38871.0
2017,51951,48659.0
2017,51953,37810.0
2017,51955,30920.0
2017,51958,56005.0
2018,51001,44919.0
2018,51007,41547.0
2018,51009,36743.0
2018,51011,37724.0
2018,51013,94318.0
2018,51017,59977.0
2018,51019,45742.0
2018,51021,35784.0
2018,51023,49439.0
2018,51025,31763.0
2018,51027,34995.0
2018,51029,29687.0
2018,51033,41746.0
2018,51036,45569.0
2018,51037,35083.0
2018,51041,52114.0
2018,51043,62873.0
2018,51045,38954.0
2018,51047,46475.0
2018,51049,37274.0
2018,51051,31573.0
2018,51057,42076.0
2018,51061,67732.0
2018,51063,38697.0
2018,51065,44632.0
2018,51067,41034.0
2018,51071,38713.0
2018,51073,47054.0
2018,51075,96891.0
2018,51077,31334.0
2018,51079,43902.0
2018,51083,34998.0
2018,51085,58474.0
2018,51087,64060.0
2018,51091,41597.0
2018,51093,52662.0
2018,51097,44152.0
2018,51099,52842.0
2018,51101,45409.0
2018,51103,55858.0
2018,51105,29859.0
2018,51107,78609.0
2018,51109,43371.0
2018,51111,32409.0
2018,51113,44731.0
2018,51115,55338.0
2018,51117,36244.0
2018,51119,49490.0
2018,51125,49527.0
2018,51127,74471.0
2018,51131,51028.0
2018,51133,50962.0
2018,51135,32738.0
2018,51137,50031.0
2018,51139,37646.0
2018,51141,32600.0
2018,51145,56106.0
2018,51147,31591.0
2018,51155,39314.0
2018,51157,64111.0
2018,51159,37251.0
2018,51167,33361.0
2018,51169,32710.0
