Year,County,Income
2010,51109,35125
2011,51109,35324
2012,51109,36308
2013,51109,36266
2014,51109,37829
2015,51109,39619
2016,51109,39892
2017,51109,42001
2018,51109,43371
2019,51109,44195
2020,51109,46650
2021,51109,50390
2022,51109,50730
2008,51111,24706
2009,51111,25221
2010,51111,25561
2011,51111,26740
2012,51111,27380
2013,51111,27494
2014,51111,28906
2015,51111,29628
2016,51111,30799
2017,51111,31654
2018,51111,32409
2019,51111,33138
2020,51111,36381
2021,51111,39493
2022,51111,38986
2008,51113,32784
2009,51113,32109
2010,51113,33640
2011,51113,36637
2012,51113,40038
2013,51113,40899
2014,51113,42742
2015,51113,43481
2016,51113,45073
2017,51113,44338
2018,51113,44731
2019,51113,47732
2020,51113,51376
2021,51113,55251
2022,51113,56535
2008,51115,45793
2009,51115,45407
2010,51115,44721
2011,51115,47419
2012,51115,47508
2013,51115,46628
2014,51115,48907
2015,51115,50695
2016,51115,52059
2017,51115,54137
2018,51115,55338
2019,51115,58763
2020,51115,61846
2021,51115,65601
2022,51115,67870
2008,51117,27691
2009,51117,28219
2010,51117,28736
2011,51117,29686
2012,51117,31334
2013,51117,31560
2014,51117,32259
2015,51117,33347
2016,51117,34023
2017,51117,35307
2018,51117,36244
2019,51117,37765
2020,51117,41327
2021,51117,46240
2022,51117,45526
2008,51119,39178
2009,51119,38192
2010,51119,38521
2011,51119,40237
2012,51119,41868
2013,51119,40810
2014,51119,41687
2015,51119,44129
2016,51119,45260
2017,51119,48416
2018,51119,49490
2019,51119,52643
2020,51119,55313
2021,51119,58916
2022,51119,60298
2008,51933,27892
2009,51933,28096
2010,51933,27647
2011,51933,28647
2012,51933,29637
2013,51933,29888
2014,51933,31440
2015,51933,32904
2016,51933,33593
2017,51933,35069
2018,51933,36652
2019,51933,37871
2020,51933,40112
2021,51933,43739
2022,51933,45379
2008,51125,35628
2009,51125,35689
2010,51125,36579
2011,51125,38653
2012,51125,41607
2013,51125,42694
2014,51125,43069
2015,51125,45227
2016,51125,46645
2017,51125,48202
2018,51125,49527
2019,51125,53178
2020,51125,57271
2021,51125,62809
2022,51125,64673
2008,51127,50293
2009,51127,52560
2010,51127,54596
2011,51127,57871
2012,51127,61034
2013,51127,63245
2014,51127,65591
2015,51127,68112
2016,51127,66243
2017,51127,69934
2018,51127,74471
2019,51127,81637
2020,51127,88570
2021,51127,96350
2022,51127,102849
2008,51700,34322
2009,51700,34024
2010,51700,34718
2011,51700,36456
2012,51700,36991
2013,51700,36578
2014,51700,36920
2015,51700,38041
2016,51700,38169
2017,51700,38782
2018,51700,38836
2019,51700,39921
2020,51700,43197
2021,51700,46919
2022,51700,46873
2008,51710,36086
2009,51710,34000
2010,51710,34346
2011,51710,35010
2012,51710,35795
2013,51710,35099
2014,51710,36129
2015,51710,37001
2016,51710,37918
2017,51710,38903
2018,51710,38313
2019,51710,39722
2020,51710,41955
2021,51710,46919
2022,51710,47898
2008,51131,35347
2009,51131,36417
2010,51131,35028
2011,51131,36620
2012,51131,38903
2013,51131,38938
2014,51131,39270
2015,51131,41316
2016,51131,44726
2017,51131,48761
2018,51131,51028
